"211",1.00,3.00,3.00,2.00,67.05,54.01,60.29,81.07,31.95,39.91,57.21,39.11
"244",1.00,3.00,3.00,2.00,73.99,54.42,62.97,84.21,33.03,42.95,61.69,40.92
"DR",3.00,3.00,3.00,3.00,89.35,58.25,63.49,85.83,46.17,55.87,73.14,52.49
"X5",2.00,3.00,3.00,3.00,75.77,54.95,61.35,86.14,36.83,46.36,67.22,45.52
"2X",1.00,3.00,3.00,3.00,77.63,55.87,61.02,86.05,41.06,47.46,68.99,46.34
"N6",1.00,3.00,3.00,3.00,92.49,57.03,67.58,96.09,40.50,50.30,83.11,60.24
"5V",1.00,3.00,3.00,3.00,84.07,56.86,64.50,87.77,36.87,52.82,76.39,53.35
"U6",1.00,3.00,3.00,3.00,79.25,58.52,62.63,86.26,38.93,50.97,67.70,45.16
"OY",3.00,3.00,3.00,3.00,95.10,57.12,69.17,95.09,44.26,52.55,79.19,61.19
"6P",1.00,3.00,3.00,1.00,77.37,59.77,59.61,92.24,41.03,51.53,67.70,48.84
"Z9",1.00,3.00,0.00,0.00,82.66,51.35,62.33,82.80,34.72,44.23,71.49,54.86
"A9 & 2 Fetuses",1.00,3.00,3.00,3.00,77.79,53.44,61.15,83.63,34.95,45.07,64.85,45.55
"C81",1.00,3.00,3.00,2.00,79.62,54.38,58.32,82.60,41.08,47.89,72.16,50.97
"1Z",1.00,3.00,3.00,3.00,75.06,54.40,60.52,87.38,38.24,48.41,66.09,47.15
"401",1.00,3.00,3.00,1.00,71.59,52.42,62.00,82.12,35.84,43.57,59.32,39.16
"202",1.00,3.00,3.00,2.00,81.89,54.68,66.93,90.92,35.73,48.69,67.66,51.27
"268",1.00,3.00,3.00,1.00,67.01,53.49,60.30,79.62,30.23,40.08,56.00,38.25
"ZQ",3.00,3.00,3.00,3.00,79.16,55.23,59.40,86.45,38.96,46.82,67.90,50.13
"210",1.00,3.00,3.00,2.00,72.85,52.25,60.24,83.94,35.57,39.42,58.80,42.65
"20",3.00,3.00,3.00,3.00,83.91,53.11,61.83,89.86,37.57,52.14,72.05,61.24
"378",1.00,3.00,3.00,1.00,63.45,51.84,57.70,76.53,29.01,38.11,51.97,34.91
"LI",3.00,3.00,3.00,3.00,86.04,54.90,63.02,87.65,44.72,51.03,73.06,58.41
"S7",3.00,3.00,3.00,3.00,78.17,56.88,64.76,90.31,38.51,47.64,68.70,46.19
"JM",3.00,3.00,3.00,3.00,82.09,56.34,63.66,87.93,40.41,49.05,69.44,50.50
"XY",3.00,3.00,3.00,3.00,88.86,56.08,62.63,91.20,40.03,48.29,78.48,58.90
"6L",1.00,3.00,3.00,2.00,73.72,52.09,63.34,84.16,37.86,50.93,61.32,44.28
"6S",1.00,3.00,3.00,2.00,80.55,55.06,63.31,84.33,38.88,47.37,68.67,53.53
"IA",3.00,3.00,3.00,3.00,97.72,56.70,66.57,91.87,43.76,57.96,87.55,60.92
"H2",3.00,3.00,3.00,3.00,92.35,61.56,65.04,91.16,42.29,52.90,78.13,64.11
"419",1.00,2.00,0.00,0.00,64.48,,57.28,,27.72,38.65,49.30,33.85
"9U",1.00,3.00,3.00,2.00,83.34,53.46,64.78,88.30,38.99,45.58,70.89,50.83
"GJ",3.00,3.00,3.00,3.00,98.06,57.46,68.41,90.27,45.83,51.27,86.35,60.19
"8N",1.00,3.00,3.00,2.00,80.33,55.47,62.85,84.84,35.03,42.19,72.24,55.85
"4",3.00,3.00,3.00,3.00,87.01,56.07,64.62,87.93,40.18,49.93,75.19,53.26
"K",3.00,3.00,3.00,3.00,85.17,54.29,64.27,88.50,37.67,47.84,72.52,52.25
"31",3.00,3.00,3.00,3.00,86.34,53.96,61.66,84.31,38.06,48.20,72.73,55.17
"519",1.00,1.00,0.00,0.00,60.65,53.18,62.94,81.51,24.03,34.04,45.16,31.93
"286",1.00,,0.00,0.00,73.20,55.57,62.26,82.23,32.50,37.12,55.93,37.21
"382",1.00,3.00,3.00,1.00,70.45,51.53,59.45,82.18,33.54,40.05,58.14,42.59
"305",1.00,3.00,3.00,2.00,73.29,50.97,63.07,84.05,33.61,45.25,60.39,43.34
"76",3.00,3.00,3.00,3.00,86.76,50.97,62.51,85.91,39.04,46.14,69.88,59.15
"290",1.00,3.00,3.00,2.00,73.40,54.61,63.11,84.69,32.00,40.70,61.00,43.73
"253",1.00,3.00,3.00,3.00,74.49,52.59,61.79,83.70,36.86,46.29,61.65,46.61
"22",3.00,3.00,3.00,3.00,87.01,56.32,62.35,82.43,40.14,45.71,70.24,52.33
"9Q",1.00,3.00,3.00,3.00,74.20,53.74,61.04,79.50,36.34,49.65,64.54,43.24
"WD & Fetus",3.00,3.00,3.00,3.00,79.28,54.06,62.01,82.69,41.22,47.42,66.30,49.26
"E2",3.00,3.00,3.00,3.00,97.79,57.91,65.98,87.56,43.36,58.34,87.44,61.00
"K INF 1970",1.00,1.00,1.00,1.00,54.44,,,,20.41,25.70,39.53,27.53
"318",1.00,3.00,3.00,1.00,77.96,56.19,65.50,86.23,34.83,45.08,65.56,46.38
"240",1.00,3.00,0.00,0.00,,,,,,,,
"201",1.00,2.00,0.00,0.00,92.01,56.65,64.69,89.86,37.90,53.12,78.69,54.54
"L191",3.00,3.00,3.00,3.00,78.84,50.43,62.40,81.23,31.62,43.88,65.05,49.01
"65",3.00,3.00,3.00,3.00,87.54,51.65,64.38,86.39,40.35,46.42,73.67,58.43
"F7",3.00,3.00,0.00,0.00,94.21,57.96,65.10,92.77,39.49,50.64,80.67,55.58
"F7",3.00,3.00,0.00,0.00,94.92,56.98,66.52,94.70,41.27,46.30,84.80,57.49
"FJ",3.00,3.00,3.00,3.00,101.93,59.19,68.36,92.54,43.12,62.74,88.70,60.48
"TD",,3.00,0.00,0.00,96.63,55.74,66.28,89.67,41.39,52.48,85.88,63.81
"XC",3.00,3.00,3.00,3.00,87.94,53.12,63.28,89.35,43.62,47.79,75.24,55.31
"7J",1.00,3.00,3.00,3.00,83.76,56.35,65.27,90.32,41.18,48.03,78.79,56.40
"309",1.00,3.00,3.00,3.00,87.72,55.88,65.01,92.86,42.52,49.76,75.82,58.72
"7Q",2.00,3.00,3.00,3.00,77.42,52.08,60.90,83.07,38.33,38.08,68.79,
"299",1.00,3.00,3.00,3.00,71.90,53.69,58.96,83.03,32.49,42.23,61.58,41.06
"1",3.00,2.00,0.00,0.00,96.10,60.12,70.59,97.89,44.96,48.75,88.80,64.77
"238 INF 1975",1.00,1.00,0.00,0.00,,,,,,,,
"300",1.00,3.00,3.00,3.00,79.71,54.55,61.45,84.68,37.72,46.18,65.67,48.16
"80E",1.00,3.00,3.00,3.00,77.07,53.01,63.07,83.08,,,,43.33
"L1",3.00,3.00,0.00,0.00,97.64,55.48,66.91,84.23,40.04,54.60,81.44,64.59
"456",1.00,3.00,3.00,3.00,77.17,56.21,62.63,88.79,38.51,46.10,64.73,45.75
"263",1.00,3.00,3.00,3.00,78.86,54.65,64.51,85.01,40.03,47.84,70.05,48.04
"FD",3.00,3.00,3.00,3.00,95.54,57.12,66.01,89.34,42.91,53.61,80.06,63.00
"OS",,3.00,0.00,0.00,86.37,51.83,64.07,87.62,41.65,44.36,71.18,50.89
"288",3.00,3.00,3.00,3.00,94.27,60.27,66.45,92.36,42.41,56.36,83.49,59.68
"JI",3.00,3.00,3.00,3.00,87.64,55.69,63.08,90.37,43.11,48.06,76.51,57.06
"412",1.00,3.00,3.00,3.00,92.91,56.21,70.20,94.24,32.28,47.59,74.97,52.49
"397",2.00,3.00,0.00,0.00,79.89,52.27,61.25,86.68,36.62,42.12,65.70,47.54
"406",1.00,3.00,3.00,3.00,75.08,54.70,65.18,84.56,33.83,45.51,60.14,41.51
"489",1.00,2.00,0.00,0.00,76.19,49.58,60.91,86.11,34.23,39.13,61.34,47.92
"434",1.00,3.00,3.00,1.00,73.39,54.96,59.21,85.39,36.41,39.04,59.82,38.80
"ZB",3.00,3.00,3.00,3.00,94.58,55.96,65.88,84.38,41.19,56.41,79.59,56.72
"62",3.00,3.00,3.00,3.00,88.46,53.53,59.56,91.91,44.96,50.46,81.13,60.98
"662",1.00,3.00,3.00,3.00,89.29,55.47,65.72,92.52,39.19,54.56,81.47,59.45
"346",2.00,3.00,3.00,3.00,99.44,55.36,69.94,92.58,44.12,52.16,84.82,61.03
"YB",3.00,3.00,3.00,3.00,85.22,52.18,63.83,90.15,39.85,51.08,73.33,57.62
"627",1.00,3.00,3.00,3.00,76.76,52.78,62.15,85.89,34.22,50.40,67.06,48.90
"ZH",3.00,3.00,3.00,3.00,103.00,58.36,71.56,100.12,47.12,52.20,89.19,67.58
"496",1.00,3.00,3.00,3.00,78.70,54.96,65.68,84.46,40.35,46.27,62.79,44.89
"3R",3.00,3.00,3.00,3.00,84.03,54.63,64.31,89.79,41.23,46.83,71.55,55.58
"3J",3.00,3.00,3.00,3.00,82.29,59.02,64.43,90.93,,,,57.69
"523",1.00,3.00,3.00,3.00,72.48,52.43,59.31,79.40,34.62,46.01,62.73,42.23
"9T",3.00,3.00,3.00,3.00,80.40,53.77,60.79,84.78,34.73,51.32,76.36,55.08
"438 INF 1976",1.00,1.00,1.00,1.00,53.88,,,,18.58,30.64,37.07,25.84
"S",3.00,3.00,3.00,3.00,86.65,56.10,64.29,87.39,45.00,49.45,74.89,59.79
"521",1.00,3.00,3.00,2.00,85.73,56.14,64.27,90.40,35.69,44.32,73.33,54.85
"437",1.00,3.00,3.00,3.00,79.31,54.31,65.71,85.28,35.31,43.67,65.35,45.23
"350",2.00,3.00,3.00,3.00,83.80,53.60,63.22,89.64,35.94,44.59,72.31,51.05
"479",1.00,3.00,3.00,1.00,69.34,56.09,63.49,82.60,31.43,41.51,55.18,37.32
"7L INF 1977",,,,,,,,,,,,
"775",1.00,1.00,1.00,1.00,62.70,51.90,60.10,75.33,29.31,36.30,48.80,34.21
"G4",3.00,3.00,3.00,3.00,85.41,56.85,62.26,86.20,45.96,51.53,76.76,58.27
"590",1.00,3.00,3.00,2.00,76.98,56.23,61.02,86.49,36.88,44.84,62.90,43.24
"448",3.00,3.00,0.00,0.00,98.63,58.77,65.37,92.79,41.85,55.81,85.84,61.78
"445",2.00,3.00,3.00,3.00,95.64,55.48,66.49,89.44,42.29,47.13,80.97,59.63
"771",1.00,3.00,3.00,1.00,62.69,54.30,58.59,83.58,28.33,38.81,50.31,32.01
"9H INF 1977",1.00,1.00,0.00,0.00,,,,,18.78,29.86,35.89,25.06
"737",1.00,1.00,0.00,0.00,57.91,49.44,58.79,76.17,20.88,34.09,42.36,28.71
"359",3.00,3.00,3.00,3.00,86.23,55.34,65.05,90.02,43.45,48.00,77.84,55.65
"758",1.00,1.00,0.00,0.00,,,,,24.52,32.40,44.52,29.98
"74E",2.00,3.00,3.00,3.00,98.50,58.83,65.80,94.10,39.89,49.20,67.74,62.93
"560",1.00,3.00,0.00,0.00,85.90,57.12,67.43,92.31,33.02,48.13,71.33,54.55
"597",1.00,3.00,3.00,1.00,79.41,52.85,63.49,87.12,38.81,47.79,70.83,49.30
"AA",3.00,3.00,3.00,3.00,85.85,59.01,61.32,85.95,41.10,49.74,72.27,52.69
"509",2.00,3.00,3.00,3.00,78.93,52.08,61.75,81.47,37.27,43.14,65.38,49.46
"1A",3.00,3.00,3.00,3.00,86.55,53.59,61.97,86.67,35.60,48.89,70.38,52.29
"442",2.00,3.00,3.00,3.00,96.78,56.47,66.99,90.05,43.61,55.13,81.87,63.00
"TV",3.00,3.00,3.00,3.00,89.71,59.11,62.10,91.82,41.77,51.66,79.40,60.15
"J6",3.00,3.00,3.00,3.00,98.12,59.67,69.25,90.90,42.66,51.12,84.10,67.33
"752",1.00,1.00,1.00,1.00,64.61,50.43,62.08,78.39,30.64,36.22,50.98,35.48
"550",0.00,0.00,0.00,0.00,81.97,53.29,65.95,87.13,32.25,43.60,69.86,54.06
"440",3.00,3.00,3.00,3.00,,57.96,68.06,94.30,43.54,53.26,84.98,63.23
"447",3.00,3.00,0.00,0.00,85.33,56.46,62.81,87.87,,,,55.11
"665",1.00,3.00,3.00,3.00,74.30,50.68,60.02,84.00,34.44,45.17,61.52,44.75
"792",1.00,1.00,1.00,1.00,,,,,,,,
"664",1.00,3.00,3.00,2.00,75.95,54.23,63.63,85.74,32.17,47.59,63.71,43.42
"675",1.00,3.00,3.00,3.00,86.80,55.95,66.88,90.81,39.20,47.12,77.37,55.95
"691",1.00,3.00,0.00,0.00,75.78,54.67,63.56,82.11,30.08,42.03,60.99,44.96
"285",3.00,3.00,3.00,3.00,97.74,59.38,66.29,92.82,41.02,51.97,84.65,64.60
"684",1.00,3.00,3.00,2.00,71.56,54.07,61.44,86.52,32.70,48.86,60.36,40.34
"301",3.00,3.00,3.00,3.00,83.03,56.58,64.81,88.02,40.29,50.74,72.30,51.57
"00K",1.00,3.00,3.00,2.00,84.88,55.69,64.66,85.53,42.71,53.65,70.96,51.91
"677",1.00,3.00,3.00,2.00,71.93,53.94,61.31,80.87,34.87,42.76,62.18,43.07
"589",1.00,3.00,3.00,3.00,78.08,54.22,62.91,84.93,33.62,46.50,69.13,45.88
"667",1.00,3.00,3.00,2.00,81.61,54.33,65.56,88.23,36.25,49.37,72.48,55.33
"824",1.00,2.00,0.00,0.00,63.46,54.87,61.26,79.33,26.61,33.60,50.33,36.95
"319",3.00,3.00,0.00,0.00,97.03,57.64,66.67,88.19,37.92,43.01,87.14,68.20
"ZW",3.00,3.00,3.00,3.00,101.19,59.86,70.28,94.20,48.07,58.17,91.31,66.93
"EK",3.00,3.00,3.00,3.00,89.77,54.53,63.92,86.33,40.40,50.29,74.47,54.01
