1/25/1966 0:00:00,"M9","646","F",2/28/1975 0:00:00,"M","Removed"
3/18/1970 0:00:00,"381","G13","M",2/25/1983 0:00:00,"I","Dead"
3/18/1970 0:00:00,"381","I13","M",1/22/1984 0:00:00,"II","Dead"
3/15/1971 0:00:00,"439","L39","F",2/8/1987 0:00:00,"I","Removed"
4/17/1971 0:00:00,"435","897","F",3/4/1978 0:00:00,"I","Dead"
2/25/1972 0:00:00,"481","881","M",4/6/1978 0:00:00,"F","Dead"
2/25/1972 0:00:00,"481","B04","F",1/20/1980 0:00:00,"F","Dead"
2/25/1972 0:00:00,"481","B01","M",2/18/1980 0:00:00,"F","Removed"
2/12/1973 0:00:00,"536","T10","M",3/13/1989 0:00:00,"Q","Removed"
2/12/1973 0:00:00,"536","S83","F",3/18/1989 0:00:00,"T","Removed"
2/12/1973 0:00:00,"536","V14","F",1/5/1990 0:00:00,"T","Removed"
2/16/1974 0:00:00,"594","C38","F",2/16/1981 0:00:00,"F","Dead"
2/16/1974 0:00:00,"594","C30","F",3/17/1981 0:00:00,"F","Removed"
2/16/1974 0:00:00,"594","E61","M",3/1/1982 0:00:00,"F","Removed"
2/16/1974 0:00:00,"594","17A","M",2/19/1992 0:00:00,"F","Removed"
2/27/1974 0:00:00,"626","D16","F",2/1/1981 0:00:00,"L","Removed"
2/27/1974 0:00:00,"626","F08","M",2/19/1982 0:00:00,"L","Dead"
3/2/1974 0:00:00,"620","H91","M",1/28/1984 0:00:00,"F","Dead"
3/2/1974 0:00:00,"620","H99","M",2/5/1984 0:00:00,"F","Removed"
3/2/1974 0:00:00,"620","O28","M",1/8/1988 0:00:00,"R","Removed"
2/25/1975 0:00:00,"669","F11","F",2/1/1982 0:00:00,"M","Removed"
2/26/1975 0:00:00,"663","92B","M",11/28/1993 0:00:00,"R","Removed"
3/24/1975 0:00:00,"642","E00","M",2/12/1982 0:00:00,"I","Dead"
3/24/1975 0:00:00,"642","G07","M",1/21/1983 0:00:00,"II","Dead"
3/30/1975 0:00:00,"632","H89","M",1/8/1984 0:00:00,"F","Dead"
3/30/1975 0:00:00,"632","I68","F",2/17/1985 0:00:00,"F","Dead"
3/30/1975 0:00:00,"632","I67","M",3/6/1985 0:00:00,"F","Removed"
3/30/1975 0:00:00,"632","J86","M",2/3/1986 0:00:00,"F","Dead"
3/30/1975 0:00:00,"632","K04","F",2/21/1986 0:00:00,"F","Dead"
3/30/1975 0:00:00,"632","J92","F",4/15/1986 0:00:00,"F","Dead"
3/30/1975 0:00:00,"632","K77","F",1/6/1987 0:00:00,"I","Removed"
3/30/1975 0:00:00,"632","56F","M",2/1/1996 0:00:00,"BB","Removed"
4/10/1975 0:00:00,"658","E93","M",3/5/1982 0:00:00,"L","Dead"
4/10/1975 0:00:00,"658","59A","F",11/29/1992 0:00:00,"F","In CS"
4/10/1975 0:00:00,"658","52I","F",11/18/1997 0:00:00,"F","Removed"
4/10/1975 0:00:00,"658","87I","F",1/2/1998 0:00:00,"F","Removed"
4/10/1975 0:00:00,"658","14L","F",11/30/1998 0:00:00,"F","Dead"
4/10/1975 0:00:00,"658","85K","M",3/2/1999 0:00:00,"F","Removed"
4/10/1975 0:00:00,"658","12N","M",12/11/1999 0:00:00,"F","Removed"
4/10/1975 0:00:00,"658","14N","F",3/25/2000 0:00:00,"F","Removed"
5/15/1975 0:00:00,"689","F00","M",3/11/1982 0:00:00,"L","Dead"
5/15/1975 0:00:00,"689","G83","M",2/9/1983 0:00:00,"L","Removed"
5/15/1975 0:00:00,"689","K30","F",2/8/1986 0:00:00,"L","Removed"
5/15/1975 0:00:00,"689","N12","F",1/19/1987 0:00:00,"F","Dead"
5/15/1975 0:00:00,"689","L47","F",3/23/1987 0:00:00,"L","Removed"
5/17/1975 0:00:00,"647","G27","M",12/25/1982 0:00:00,"I","Dead"
5/17/1975 0:00:00,"647","G09","M",1/4/1983 0:00:00,"I","Dead"
5/17/1975 0:00:00,"647","I32","M",2/2/1984 0:00:00,"I","Removed"
5/17/1975 0:00:00,"647","J39","M",4/25/1985 0:00:00,"Q","Removed"
5/17/1975 0:00:00,"647","X58","M",2/13/1991 0:00:00,"S","Dead"
2/18/1976 0:00:00,"708","D68","M",2/8/1981 0:00:00,"L","Dead"
2/18/1976 0:00:00,"708","E97","M",2/8/1982 0:00:00,"L","Removed"
2/18/1976 0:00:00,"708","E92","M",2/22/1982 0:00:00,"L","Removed"
2/18/1976 0:00:00,"708","G33","M",1/30/1983 0:00:00,"L","Removed"
2/18/1976 0:00:00,"708","G81","F",2/22/1983 0:00:00,"L","Removed"
2/18/1976 0:00:00,"708","V16","F",3/29/1990 0:00:00,"T","Removed"
2/18/1976 0:00:00,"708","70F","M",1/5/1996 0:00:00,"R","Removed"
2/28/1976 0:00:00,"717","F68","F",2/14/1983 0:00:00,"M","Removed"
2/28/1976 0:00:00,"717","F53","M",3/21/1983 0:00:00,"M","Removed"
2/28/1976 0:00:00,"717","S94","M",1/31/1989 0:00:00,"Q","Dead"
2/28/1976 0:00:00,"717","86A","M",12/10/1992 0:00:00,"R","Dead"
2/28/1976 0:00:00,"717","05C","M",12/6/1993 0:00:00,"S","Removed"
2/28/1976 0:00:00,"717","93B","F",1/1/1994 0:00:00,"R","Dead"
2/28/1976 0:00:00,"717","02D","M",12/1/1994 0:00:00,"S","Removed"
2/28/1976 0:00:00,"717","94C","M",2/24/1995 0:00:00,"S","Removed"
3/13/1976 0:00:00,"742","H02","F",3/6/1983 0:00:00,"II","Dead"
