AnimalID, Sex, Matril, BGroup, DateOfB, Pedigree
"G80","f","Q1083","I",1/1/1983 0:00:00,5
"G17","f","Q1083","I",1/14/1983 0:00:00,4
"G07","m","Q1083","II",1/21/1983 0:00:00,4
"G20","m","Q1083","I",2/5/1983 0:00:00,5
"i83CS","m","Q1083","I",2/5/1983 0:00:00,3
"G11","f","Q1083","I",2/15/1983 0:00:00,5
"i83896","f","Q1083","I",2/15/1983 0:00:00,5
"G04","f","Q1083","I",2/21/1983 0:00:00,5
"G02","f","Q1083","I",2/22/1983 0:00:00,4
"G21","m","Q1083","II",2/23/1983 0:00:00,4
"G19","f","Q1083","I",3/11/1983 0:00:00,4
"H32","m","Q1083","I",12/18/1983 0:00:00,5
"H57","f","Q1083","I",12/22/1983 0:00:00,5
"H52","m","Q1083","I",1/1/1984 0:00:00,5
"H55","m","Q1083","I",1/3/1984 0:00:00,4
"H56","f","Q1083","I",1/3/1984 0:00:00,5
"I20","m","Q1083","II",1/7/1984 0:00:00,4
"H50","m","Q1083","I",1/8/1984 0:00:00,5
"i84798","f","Q1083","I",1/10/1984 0:00:00,5
"I22","f","Q1083","I",1/18/1984 0:00:00,5
"H64","f","Q1083","II",1/21/1984 0:00:00,5
"I13","m","Q1083","II",1/22/1984 0:00:00,5
"i84B11","m","Q1083","I",1/27/1984 0:00:00,5
"I21","f","Q1083","I",2/10/1984 0:00:00,4
"H38","f","Q1083","I",2/19/1984 0:00:00,5
"I15","m","Q1083","I",2/21/1984 0:00:00,4
"H94","m","Q1083","I",2/25/1984 0:00:00,5
"H53","m","Q1083","I",5/25/1984 0:00:00,4
"I56","f","Q1083","II",1/1/1985 0:00:00,4
"I34","f","Q1083","Q",1/15/1985 0:00:00,5
"I59","f","Q1083","I",1/21/1985 0:00:00,5
"I54","f","Q1083","I",1/29/1985 0:00:00,5
"i85A41","m","Q1083","Q",2/4/1985 0:00:00,5
"I37","m","Q1083","Q",2/6/1985 0:00:00,5
"I41","m","Q1083","Q",2/7/1985 0:00:00,4
"J43","m","Q1083","I",2/8/1985 0:00:00,5
"J01","f","Q1083","II",2/11/1985 0:00:00,5
"i85803","m","Q1083","I",2/19/1985 0:00:00,5
"I86","m","Q1083","I",2/28/1985 0:00:00,4
"I58","f","Q1083","Q",3/10/1985 0:00:00,5
"I72","f","Q1083","I",3/22/1985 0:00:00,5
"J12","f","Q1083","I",4/1/1985 0:00:00,5
"I62","m","Q1083","I",4/8/1985 0:00:00,5
"i85446","f","Q1083","Q",4/10/1985 0:00:00,4
"I60","m","Q1083","Q",4/13/1985 0:00:00,5
"J39","m","Q1083","Q",4/25/1985 0:00:00,4
"J08","f","Q1083","II",5/6/1985 0:00:00,4
