AnimalID, Sex, Matril, BGroup, DateOfB, Pedigree
"i94K46","f","Q1083","Q",12/29/1993 0:00:00,6
"69C","f","Q1083","S",1/1/1994 0:00:00,6
"93B","f","Q1083","R",1/1/1994 0:00:00,5
"40C","m","Q1083","S",1/3/1994 0:00:00,5
"i94G19","f","Q1083","Q",1/4/1994 0:00:00,5
"i94O90","m","Q1083","Q",1/5/1994 0:00:00,6
"82C","f","Q1083","S",1/7/1994 0:00:00,6
"i94V55","f","Q1083","Q",1/8/1994 0:00:00,7
"i94B13","m","Q1083","Q",1/8/1994 0:00:00,5
"94B","f","Q1083","R",1/14/1994 0:00:00,7
"03C","m","Q1083","S",1/14/1994 0:00:00,5
"33C","f","Q1083","R",1/15/1994 0:00:00,6
"i94V03","m","Q1083","Q",1/15/1994 0:00:00,7
"i94T85","f","Q1083","S",1/17/1994 0:00:00,8
"10C","f","Q1083","R",1/19/1994 0:00:00,5
"82B","f","Q1083","S",1/20/1994 0:00:00,5
"30C","m","Q1083","S",1/21/1994 0:00:00,5
"i94O92","f","Q1083","Q",1/22/1994 0:00:00,6
"32C","m","Q1083","R",1/25/1994 0:00:00,6
"80C","f","Q1083","S",1/27/1994 0:00:00,5
"37C","m","Q1083","S",1/29/1994 0:00:00,5
"79B","m","Q1083","S",1/31/1994 0:00:00,6
"95B","f","Q1083","R",1/31/1994 0:00:00,6
"77B","m","Q1083","R",2/2/1994 0:00:00,5
"06C","m","Q1083","S",2/4/1994 0:00:00,5
"76B","m","Q1083","R",2/5/1994 0:00:00,5
"i94R92","f","Q1083","Q",2/5/1994 0:00:00,6
"84C","f","Q1083","S",2/16/1994 0:00:00,7
"39C","m","Q1083","S",3/2/1994 0:00:00,6
"90C","m","Q1083","S",3/3/1994 0:00:00,7
"07C","f","Q1083","S",3/7/1994 0:00:00,6
"80B","m","Q1083","S",4/19/1994 0:00:00,6
"03D","m","Q1083","S",11/21/1994 0:00:00,6
"24D","m","Q1083","R",11/29/1994 0:00:00,5
"02D","m","Q1083","S",12/1/1994 0:00:00,6
"28D","m","Q1083","S",12/1/1994 0:00:00,7
"i95T51","f","Q1083","S",12/5/1994 0:00:00,6
"14D","m","Q1083","R",12/9/1994 0:00:00,6
"02E","m","Q1083","R",12/10/1994 0:00:00,6
"74D","m","Q1083","S",12/13/1994 0:00:00,5
"95C","f","Q1083","S",12/16/1994 0:00:00,7
"75D","f","Q1083","R",12/17/1994 0:00:00,5
"91C","f","Q1083","R",12/22/1994 0:00:00,7
"i95T84","f","Q1083","S",12/22/1994 0:00:00,6
"29D","m","Q1083","S",12/27/1994 0:00:00,7
"09D","m","Q1083","S",12/28/1994 0:00:00,6
"50D","f","Q1083","S",1/5/1995 0:00:00,5
"16D","f","Q1083","R",1/7/1995 0:00:00,5
"80D","f","Q1083","R",1/9/1995 0:00:00,6
"04D","f","Q1083","S",1/9/1995 0:00:00,5
"10D","m","Q1083","S",1/9/1995 0:00:00,6
"25D","f","Q1083","R",1/10/1995 0:00:00,7
"34D","f","Q1083","S",1/10/1995 0:00:00,6
"i95S37","m","Q1083","S",1/10/1995 0:00:00,6
"53D","f","Q1083","R",1/21/1995 0:00:00,6
"36D","f","Q1083","S",1/22/1995 0:00:00,6
"33D","f","Q1083","S",1/24/1995 0:00:00,7
"98C","f","Q1083","S",1/26/1995 0:00:00,7
"17D","f","Q1083","R",1/30/1995 0:00:00,5
"51D","f","Q1083","R",1/30/1995 0:00:00,6
"06D","f","Q1083","S",2/2/1995 0:00:00,7
"99C","m","Q1083","R",2/9/1995 0:00:00,7
"05D","f","Q1083","S",2/10/1995 0:00:00,6
"19D","m","Q1083","S",2/14/1995 0:00:00,6
"12D","m","Q1083","S",2/15/1995 0:00:00,6
"52D","m","Q1083","S",2/15/1995 0:00:00,5
"i95J01","f","Q1083","R",2/16/1995 0:00:00,6
"21D","f","Q1083","R",2/21/1995 0:00:00,5
"94C","m","Q1083","S",2/24/1995 0:00:00,5
"01D","m","Q1083","S",2/28/1995 0:00:00,5
"13E","m","Q1083","S",3/16/1995 0:00:00,5
"i95869","f","Q1083","S",4/9/1995 0:00:00,5
"96C","m","Q1083","R",4/16/1995 0:00:00,5
"i9606A","f","Q1083","S",11/27/1995 0:00:00,7
"77F","m","Q1083","S",11/29/1995 0:00:00,8
"42F","m","Q1083","S",11/30/1995 0:00:00,7
"81F","m","Q1083","S",12/2/1995 0:00:00,5
"41F","m","Q1083","S",12/4/1995 0:00:00,6
"80F","f","Q1083","S",12/4/1995 0:00:00,7
"58F","f","Q1083","S",12/6/1995 0:00:00,6
"36E","m","Q1083","R",12/7/1995 0:00:00,7
"38F","f","Q1083","S",12/8/1995 0:00:00,8
"30F","f","Q1083","S",12/10/1995 0:00:00,6
"88F","f","Q1083","S",12/14/1995 0:00:00,5
"74F","f","Q1083","S",12/16/1995 0:00:00,6
"83F","m","Q1083","S",12/19/1995 0:00:00,6
"37F","f","Q1083","S",12/19/1995 0:00:00,7
"i96Z82","m","Q1083","S",12/20/1995 0:00:00,7
"36F","m","Q1083","S",12/21/1995 0:00:00,7
"50F","f","Q1083","S",12/21/1995 0:00:00,5
"51F","m","Q1083","R",12/22/1995 0:00:00,6
"i96N20","f","Q1083","R",12/23/1995 0:00:00,7
"i96T83","m","Q1083","S",12/24/1995 0:00:00,7
"45E","f","Q1083","R",12/30/1995 0:00:00,6
"i96Z75","f","Q1083","S",12/30/1995 0:00:00,6
"i96S55","f","Q1083","R",1/2/1996 0:00:00,7
"34F","m","Q1083","C",1/3/1996 0:00:00,5
"31E","m","Q1083","S",1/8/1996 0:00:00,6
"68F","m","Q1083","C",1/10/1996 0:00:00,7
"82F","f","Q1083","S",1/11/1996 0:00:00,7
"55F","f","Q1083","CC",1/12/1996 0:00:00,6
"i96D82","u","Q1083","S",1/21/1996 0:00:00,5
"79F","m","Q1083","BB",1/22/1996 0:00:00,8
"84F","m","Q1083","CC",1/27/1996 0:00:00,5
"79E","m","Q1083","S",1/27/1996 0:00:00,7
"52F","m","Q1083","C",1/27/1996 0:00:00,7
"72F","f","Q1083","BB",1/28/1996 0:00:00,6
"40F","m","Q1083","S",1/29/1996 0:00:00,6
"28F","f","Q1083","BB",1/30/1996 0:00:00,5
"49E","f","Q1083","R",2/5/1996 0:00:00,6
"89F","f","Q1083","S",2/5/1996 0:00:00,7
"29F","m","Q1083","BB",2/6/1996 0:00:00,5
"53F","m","Q1083","C",2/7/1996 0:00:00,5
"i96J12","m","Q1083","R",2/8/1996 0:00:00,6
"78E","f","Q1083","S",2/10/1996 0:00:00,6
"27F","m","Q1083","BB",2/14/1996 0:00:00,5
"54F","m","Q1083","CC",2/19/1996 0:00:00,6
"41E","m","Q1083","R",2/28/1996 0:00:00,5
"76E","f","Q1083","BB",3/4/1996 0:00:00,5
"i96J01","m","Q1083","B",3/8/1996 0:00:00,6
"75E","m","Q1083","R",3/9/1996 0:00:00,5
"71F","f","Q1083","S",3/28/1996 0:00:00,7
"i96G80","f","Q1083","S",7/3/1996 0:00:00,6
"I97678","f","Q1083","S",11/29/1996 0:00:00,5
"50H","m","Q1083","S",11/30/1996 0:00:00,6
"70H","f","Q1083","R",12/10/1996 0:00:00,7
"36G","m","Q1083","S",12/26/1996 0:00:00,6
"48H","m","Q1083","S",12/26/1996 0:00:00,7
"46H","f","Q1083","S",12/26/1996 0:00:00,6
"i9706A","m","Q1083","S",12/26/1996 0:00:00,7
"93G","m","Q1083","R",12/27/1996 0:00:00,8
"35G","f","Q1083","R",12/27/1996 0:00:00,7
"89G","m","Q1083","R",12/29/1996 0:00:00,7
"33G","f","Q1083","S",12/30/1996 0:00:00,7
"95G","f","Q1083","R",12/31/1996 0:00:00,7
"88G","f","Q1083","R",1/2/1997 0:00:00,6
"36H","f","Q1083","S",1/3/1997 0:00:00,7
"30H","m","Q1083","S",1/3/1997 0:00:00,6
"37H","f","Q1083","C",1/4/1997 0:00:00,6
"01H","f","Q1083","S",1/6/1997 0:00:00,7
"30G","m","Q1083","CC",1/7/1997 0:00:00,6
"84G","m","Q1083","S",1/7/1997 0:00:00,8
"11H","f","Q1083","C",1/7/1997 0:00:00,5
"05H","m","Q1083","C",1/8/1997 0:00:00,7
"27H","m","Q1083","S",1/10/1997 0:00:00,7
"71H","m","Q1083","R",1/11/1997 0:00:00,6
"38H","m","Q1083","S",1/12/1997 0:00:00,7
"34H","m","Q1083","S",1/12/1997 0:00:00,7
"69G","m","Q1083","S",1/12/1997 0:00:00,7
"40H","f","Q1083","C",1/16/1997 0:00:00,6
"39H","m","Q1083","S",1/16/1997 0:00:00,6
"37G","m","Q1083","R",1/16/1997 0:00:00,6
"33H","f","Q1083","CC",1/17/1997 0:00:00,5
"71G","f","Q1083","R",1/19/1997 0:00:00,5
"09H","f","Q1083","BB",1/19/1997 0:00:00,6
"28H","f","Q1083","BB",1/21/1997 0:00:00,5
"47H","f","Q1083","S",1/24/1997 0:00:00,6
"64H","f","Q1083","CC",1/26/1997 0:00:00,7
"65H","m","Q1083","C",1/28/1997 0:00:00,6
"31H","f","Q1083","S",1/31/1997 0:00:00,7
"45H","m","Q1083","R",2/1/1997 0:00:00,5
"25H","f","Q1083","B",2/3/1997 0:00:00,5
"34G","m","Q1083","B",2/8/1997 0:00:00,8
"00H","m","Q1083","S",2/13/1997 0:00:00,5
"70G","f","Q1083","S",2/13/1997 0:00:00,5
"29G","f","Q1083","R",2/15/1997 0:00:00,6
"49H","m","Q1083","R",2/15/1997 0:00:00,6
"78G","f","Q1083","R",2/17/1997 0:00:00,7
"94G","f","Q1083","R",2/17/1997 0:00:00,7
"41G","f","Q1083","C",2/18/1997 0:00:00,6
"41H","m","Q1083","B",2/21/1997 0:00:00,7
"52H","f","Q1083","S",2/27/1997 0:00:00,6
"43H","m","Q1083","BB",3/29/1997 0:00:00,5
"32H","f","Q1083","B",3/29/1997 0:00:00,5
"44H","m","Q1083","S",4/9/1997 0:00:00,6
"53H","m","Q1083","R",4/14/1997 0:00:00,6
"91H","m","Q1083","S",11/8/1997 0:00:00,5
"85I","f","Q1083","S",11/13/1997 0:00:00,7
"i9846B","f","Q1083","S",11/16/1997 0:00:00,7
"i98L97","f","Q1083","D",11/18/1997 0:00:00,6
"i98Z81","f","Q1083","D",11/23/1997 0:00:00,7
"80I","f","Q1083","S",11/24/1997 0:00:00,6
"i98C12","f","Q1083","R",12/2/1997 0:00:00,5
"90H","m","Q1083","CC",12/3/1997 0:00:00,7
"84I","m","Q1083","S",12/7/1997 0:00:00,6
"i98D98","f","Q1083","D",12/7/1997 0:00:00,6
"91I","m","Q1083","R",12/9/1997 0:00:00,8
"12J","m","Q1083","G",12/11/1997 0:00:00,7
"i9851B","f","Q1083","G",12/11/1997 0:00:00,7
"i98G17","m","Q1083","B",12/12/1997 0:00:00,5
"71I","m","Q1083","C",12/19/1997 0:00:00,6
"23I","f","Q1083","R",12/21/1997 0:00:00,6
"46J","m","Q1083","D",12/25/1997 0:00:00,7
"81I","f","Q1083","S",12/25/1997 0:00:00,7
"97H","m","Q1083","D",12/25/1997 0:00:00,8
"87H","f","Q1083","BB",12/26/1997 0:00:00,6
"34I","f","Q1083","G",12/26/1997 0:00:00,8
"85H","m","Q1083","BB",12/27/1997 0:00:00,6
"i98S55","m","Q1083","R",12/27/1997 0:00:00,7
"83H","m","Q1083","R",1/5/1998 0:00:00,7
"90I","f","Q1083","D",1/5/1998 0:00:00,6
"75I","m","Q1083","D",1/5/1998 0:00:00,7
"98H","f","Q1083","D",1/5/1998 0:00:00,7
"81H","f","Q1083","CC",1/5/1998 0:00:00,7
"38I","m","Q1083","D",1/5/1998 0:00:00,7
"i98T86","f","Q1083","C",1/5/1998 0:00:00,6
"i98Z72","m","Q1083","D",1/6/1998 0:00:00,7
"i98E55","u","Q1083","B",1/6/1998 0:00:00,5
"i9883C","f","Q1083","G",1/6/1998 0:00:00,8
"96H","m","Q1083","S",1/9/1998 0:00:00,5
"86H","m","Q1083","C",1/11/1998 0:00:00,5
"33I","m","Q1083","D",1/11/1998 0:00:00,7
"19I","f","Q1083","G",1/12/1998 0:00:00,6
"77I","m","Q1083","R",1/13/1998 0:00:00,6
"82I","f","Q1083","S",1/13/1998 0:00:00,5
"i9884C","m","Q1083","D",1/13/1998 0:00:00,8
"82H","f","Q1083","DD",1/14/1998 0:00:00,7
"94H","m","Q1083","S",1/16/1998 0:00:00,7
"30I","m","Q1083","R",1/17/1998 0:00:00,8
"92H","m","Q1083","BB",1/18/1998 0:00:00,6
"29I","f","Q1083","R",1/18/1998 0:00:00,7
"95H","f","Q1083","S",1/20/1998 0:00:00,6
"i98S37","f","Q1083","S",1/20/1998 0:00:00,6
"41J","m","Q1083","C",1/21/1998 0:00:00,5
"89H","f","Q1083","BB",1/23/1998 0:00:00,6
"47J","f","Q1083","S",1/28/1998 0:00:00,7
"i9894A","m","Q1083","D",1/28/1998 0:00:00,8
"11J","f","Q1083","D",1/29/1998 0:00:00,6
"78H","f","Q1083","CC",2/6/1998 0:00:00,7
"39I","f","Q1083","R",2/13/1998 0:00:00,7
"42J","m","Q1083","CC",2/13/1998 0:00:00,6
"i98869","m","Q1083","G",3/16/1998 0:00:00,5
"27I","m","Q1083","R",4/2/1998 0:00:00,6
"i9936B","f","Q1083","B",11/5/1998 0:00:00,7
"i99J74","m","Q1083","S",11/12/1998 0:00:00,6
"24K","f","Q1083","CC",11/16/1998 0:00:00,6
"91K","f","Q1083","R",11/19/1998 0:00:00,7
"26K","m","Q1083","BB",11/19/1998 0:00:00,5
"67K","m","Q1083","C",11/26/1998 0:00:00,6
"92K","m","Q1083","G",11/29/1998 0:00:00,6
"i99D98","f","Q1083","D",11/29/1998 0:00:00,6
"i99L97","f","Q1083","D",12/1/1998 0:00:00,6
"95K","m","Q1083","G",12/3/1998 0:00:00,8
"83K","m","Q1083","BB",12/3/1998 0:00:00,5
"68K","f","Q1083","C",12/3/1998 0:00:00,7
"i99N16","m","Q1083","S",12/3/1998 0:00:00,6
"i99Z52","f","Q1083","R",12/3/1998 0:00:00,8
"61K","f","Q1083","R",12/7/1998 0:00:00,6
"45K","f","Q1083","R",12/9/1998 0:00:00,7
"71K","m","Q1083","CC",12/11/1998 0:00:00,6
"i9983C","m","Q1083","G",12/12/1998 0:00:00,8
"51K","f","Q1083","G",12/13/1998 0:00:00,7
"18L","m","Q1083","D",12/16/1998 0:00:00,8
"25K","m","Q1083","C",12/20/1998 0:00:00,6
"57K","f","Q1083","G",12/20/1998 0:00:00,7
"09L","m","Q1083","CC",12/22/1998 0:00:00,6
"19L","f","Q1083","BB",12/22/1998 0:00:00,7
"i99C12","m","Q1083","R",12/23/1998 0:00:00,5
"75K","m","Q1083","CC",12/24/1998 0:00:00,6
"74K","f","Q1083","S",12/26/1998 0:00:00,5
"i9925D","f","Q1083","R",12/27/1998 0:00:00,8
"82K","m","Q1083","R",1/3/1999 0:00:00,6
"i99X78","m","Q1083","G",1/5/1999 0:00:00,6
"i99N20","m","Q1083","R",1/6/1999 0:00:00,7
"56K","m","Q1083","S",1/8/1999 0:00:00,7
"i99Z81","m","Q1083","D",1/8/1999 0:00:00,7
"99K","m","Q1083","CC",1/13/1999 0:00:00,6
"10K","m","Q1083","F",1/14/1999 0:00:00,6
"69K","m","Q1083","R",1/22/1999 0:00:00,8
"00L","m","Q1083","S",2/1/1999 0:00:00,6
"i9998C","m","Q1083","C",2/2/1999 0:00:00,8
"79K","m","Q1083","R",2/5/1999 0:00:00,7
"80K","m","Q1083","D",2/11/1999 0:00:00,7
"77K","f","Q1083","C",2/22/1999 0:00:00,5
"05L","m","Q1083","S",2/25/1999 0:00:00,7
"90K","m","Q1083","R",2/26/1999 0:00:00,7
"17L","m","Q1083","BB",2/28/1999 0:00:00,5
"72K","f","Q1083","R",3/1/1999 0:00:00,6
"01L","m","Q1083","BB",3/4/1999 0:00:00,6
"94K","m","Q1083","BB",3/4/1999 0:00:00,6
"88L","f","Q1083","D",11/3/1999 0:00:00,7
"45N","f","Q1083","D",11/3/1999 0:00:00,8
"66N","f","Q1083","B",11/3/1999 0:00:00,5
"89N","m","Q1083","S",11/4/1999 0:00:00,7
"93L","f","Q1083","D",11/4/1999 0:00:00,7
"94N","m","Q1083","D",11/5/1999 0:00:00,6
"73L","m","Q1083","B",11/6/1999 0:00:00,7
"12O","m","Q1083","S",11/11/1999 0:00:00,5
"67N","f","Q1083","D",11/11/1999 0:00:00,7
"91N","m","Q1083","D",11/11/1999 0:00:00,7
"43N","m","Q1083","S",11/11/1999 0:00:00,5
"46N","m","Q1083","S",11/12/1999 0:00:00,7
"52L","f","Q1083","C",11/13/1999 0:00:00,6
"49N","m","Q1083","C",11/15/1999 0:00:00,7
"92N","m","Q1083","D",11/18/1999 0:00:00,7
"96L","m","Q1083","D",11/18/1999 0:00:00,6
"44N","f","Q1083","D",11/19/1999 0:00:00,7
"69L","m","Q1083","BB",11/21/1999 0:00:00,6
"66L","f","Q1083","C",11/22/1999 0:00:00,5
"i00G17","m","Q1083","B",11/23/1999 0:00:00,5
"i0033C","f","Q1083","R",11/27/1999 0:00:00,7
"i00O35","f","Q1083","S",11/29/1999 0:00:00,6
"68N","m","Q1083","S",12/2/1999 0:00:00,6
"32N","f","Q1083","C",12/2/1999 0:00:00,7
"i00O30","m","Q1083","C",12/5/1999 0:00:00,7
"95L","f","Q1083","BB",12/7/1999 0:00:00,6
"50L","m","Q1083","C",12/11/1999 0:00:00,6
"94L","m","Q1083","D",12/19/1999 0:00:00,6
"80N","f","Q1083","G",12/20/1999 0:00:00,7
"79L","m","Q1083","D",12/20/1999 0:00:00,7
"86N","m","Q1083","G",12/20/1999 0:00:00,6
"87N","f","Q1083","G",12/20/1999 0:00:00,7
"28O","m","Q1083","C",12/20/1999 0:00:00,8
"83N","m","Q1083","G",12/20/1999 0:00:00,6
"i00X60","m","Q1083","S",12/20/1999 0:00:00,7
"29O","m","Q1083","R",12/21/1999 0:00:00,6
"50N","m","Q1083","G",12/26/1999 0:00:00,7
"59N","m","Q1083","C",12/26/1999 0:00:00,7
"65N","m","Q1083","B",12/27/1999 0:00:00,7
"79N","m","Q1083","J",12/27/1999 0:00:00,8
"98L","f","Q1083","BB",12/27/1999 0:00:00,5
"92L","m","Q1083","C",12/28/1999 0:00:00,6
"85L","m","Q1083","C",12/29/1999 0:00:00,6
"07O","m","Q1083","J",1/1/2000 0:00:00,7
"i0025D","m","Q1083","J",1/2/2000 0:00:00,8
"90L","m","Q1083","J",1/3/2000 0:00:00,7
"89L","f","Q1083","S",1/5/2000 0:00:00,6
"i00N20","f","Q1083","J",1/5/2000 0:00:00,7
"93N","f","Q1083","G",1/6/2000 0:00:00,8
"76N","m","Q1083","R",1/6/2000 0:00:00,6
"i0005D","m","Q1083","D",1/6/2000 0:00:00,7
"i00X34","f","Q1083","R",1/11/2000 0:00:00,7
"51N","f","Q1083","G",1/12/2000 0:00:00,8
"64L","f","Q1083","CC",1/13/2000 0:00:00,6
"72N","f","Q1083","S",1/13/2000 0:00:00,6
"84N","f","Q1083","S",1/20/2000 0:00:00,5
"41N","m","Q1083","S",2/4/2000 0:00:00,7
"87L","m","Q1083","S",2/17/2000 0:00:00,6
"64N","f","Q1083","C",2/17/2000 0:00:00,6
"54N","f","Q1083","R",2/22/2000 0:00:00,5
"90N","m","Q1083","S",2/23/2000 0:00:00,5
"18O","f","Q1083","S",2/24/2000 0:00:00,7
"88N","f","Q1083","S",2/25/2000 0:00:00,6
"56N","m","Q1083","J",2/29/2000 0:00:00,8
"59L","m","Q1083","C",3/2/2000 0:00:00,5
"81N","f","Q1083","J",4/13/2000 0:00:00,8
"43O","f","Q1083","CC",11/5/2000 0:00:00,6
"70O","f","Q1083","S",11/13/2000 0:00:00,6
"I01N20","f","Q1083","JJ",11/13/2000 0:00:00,7
"72O","m","Q1083","S",11/14/2000 0:00:00,7
"i01J71","f","Q1083","S",11/14/2000 0:00:00,7
"i0105D","m","Q1083","DD",11/14/2000 0:00:00,7
"i0138F","f","Q1083","GG",11/15/2000 0:00:00,9
"87O","m","Q1083","R",11/18/2000 0:00:00,6
"59O","m","Q1083","BB",11/24/2000 0:00:00,6
"I0125D","f","Q1083","JJ",11/24/2000 0:00:00,8
"79O","m","Q1083","S",11/26/2000 0:00:00,7
"23P","f","Q1083","CC",11/27/2000 0:00:00,6
"41P","f","Q1083","BB",11/27/2000 0:00:00,6
"i0170H","m","Q1083","GG",11/27/2000 0:00:00,8
"i0147A","f","Q1083","DD",11/27/2000 0:00:00,7
"51O","m","Q1083","BB",11/29/2000 0:00:00,6
"i0174F","m","Q1083","DD",12/1/2000 0:00:00,7
"26P","m","Q1083","S",12/3/2000 0:00:00,5
"57O","f","Q1083","BB",12/5/2000 0:00:00,5
"i01O30","m","Q1083","CC",12/5/2000 0:00:00,7
"i01S55","f","Q1083","JJ",12/5/2000 0:00:00,7
"24P","m","Q1083","S",12/6/2000 0:00:00,7
"i0184C","f","Q1083","DD",12/6/2000 0:00:00,8
"11P","f","Q1083","CC",12/7/2000 0:00:00,6
"i01Z92","f","Q1083","DD",12/7/2000 0:00:00,6
"i01X78","m","Q1083","GG",12/7/2000 0:00:00,6
"67O","f","Q1083","R",12/10/2000 0:00:00,7
"48O","f","Q1083","CC",12/11/2000 0:00:00,6
"i01Z73","m","Q1083","GG",12/13/2000 0:00:00,6
"i0151B","m","Q1083","GG",12/15/2000 0:00:00,7
"i01T85","f","Q1083","S",12/16/2000 0:00:00,8
"64O","f","Q1083","CC",12/17/2000 0:00:00,6
"i01Z52","m","Q1083","JJ",12/17/2000 0:00:00,8
"i01J66","f","Q1083","J",12/17/2000 0:00:00,7
"i01D82","f","Q1083","S",12/17/2000 0:00:00,5
"I01K81","f","Q1083","R",12/21/2000 0:00:00,6
"60O","m","Q1083","BB",12/25/2000 0:00:00,7
"63O","m","Q1083","CC",12/25/2000 0:00:00,6
"i01G80","m","Q1083","DD",12/25/2000 0:00:00,6
"66P","f","Q1083","BB",12/26/2000 0:00:00,7
"i01X34","m","Q1083","R",1/2/2001 0:00:00,7
"i01L97","f","Q1083","DD",1/5/2001 0:00:00,6
"74O","m","Q1083","S",1/6/2001 0:00:00,7
"i01Z72","f","Q1083","DD",1/7/2001 0:00:00,7
"i01Z74","m","Q1083","GG",1/9/2001 0:00:00,8
"50O","f","Q1083","CC",1/17/2001 0:00:00,7
"i01L37","f","Q1083","DD",1/21/2001 0:00:00,7
"i0183C","m","Q1083","GG",1/21/2001 0:00:00,8
"i01E55","m","Q1083","BB",1/25/2001 0:00:00,5
"i0134D","f","Q1083","GG",1/29/2001 0:00:00,7
"i01O36","m","Q1083","DD",1/29/2001 0:00:00,7
"39P","m","Q1083","S",2/4/2001 0:00:00,7
"68O","m","Q1083","S",2/13/2001 0:00:00,6
"75O","m","Q1083","S",2/13/2001 0:00:00,6
"66O","f","Q1083","CC",2/18/2001 0:00:00,5
"67P","m","Q1083","BB",2/18/2001 0:00:00,5
"52O","m","Q1083","BB",2/22/2001 0:00:00,6
"27P","f","Q1083","S",3/20/2001 0:00:00,5
"47O","f","Q1083","CC",3/20/2001 0:00:00,6
"I0278E","m","Q1083","DD",10/11/2001 0:00:00,7
"i02Z81","f","Q1083","D",10/19/2001 0:00:00,7
"I0228H","u","Q1083","BB",10/22/2001 0:00:00,6
"93R","m","Q1083","S",10/23/2001 0:00:00,7
"05R","f","Q1083","CC",10/23/2001 0:00:00,6
"22R","m","Q1083","S",10/27/2001 0:00:00,6
"49R","f","Q1083","CC",10/28/2001 0:00:00,6
"I02J71","u","Q1083","S",10/29/2001 0:00:00,7
"i0247A","f","Q1083","D",10/30/2001 0:00:00,7
"47R","f","Q1083","CC",11/3/2001 0:00:00,7
"i02X55","f","Q1083","D",11/6/2001 0:00:00,7
"00S","m","Q1083","S",11/7/2001 0:00:00,7
"13R","f","Q1083","BB",11/8/2001 0:00:00,7
"94R","f","Q1083","S",11/8/2001 0:00:00,6
"24R","m","Q1083","R",11/8/2001 0:00:00,8
"i0298C","f","Q1083","CC",11/8/2001 0:00:00,8
"i02T85","f","Q1083","S",11/8/2001 0:00:00,8
"69R","m","Q1083","R",11/9/2001 0:00:00,6
"98R","m","Q1083","BB",11/12/2001 0:00:00,7
"i0295G","f","Q1083","J",11/12/2001 0:00:00,8
"37R","f","Q1083","R",11/15/2001 0:00:00,6
"i02X78","m","Q1083","G",11/16/2001 0:00:00,6
"14R","f","Q1083","CC",11/17/2001 0:00:00,6
"i02O38","f","Q1083","G",11/17/2001 0:00:00,7
"i02S55","f","Q1083","J",11/18/2001 0:00:00,7
"i02J66","u","Q1083","J",11/20/2001 0:00:00,7
"I0274F","u","Q1083","DD",11/21/2001 0:00:00,7
"92R","m","Q1083","BB",11/23/2001 0:00:00,6
"i02R27","m","Q1083","C",11/23/2001 0:00:00,7
"i02N20","f","Q1083","J",11/23/2001 0:00:00,7
"01S","m","Q1083","CC",11/24/2001 0:00:00,6
"i02L97","m","Q1083","D",11/24/2001 0:00:00,6
"i02Z52","m","Q1083","J",11/24/2001 0:00:00,8
"i0246B","m","Q1083","S",11/25/2001 0:00:00,7
"i02Z74","f","Q1083","G",11/26/2001 0:00:00,8
"i02Z72","u","Q1083","DD",11/26/2001 0:00:00,7
"i02O30","m","Q1083","C",11/27/2001 0:00:00,7
"i02Z73","u","Q1083","G",11/27/2001 0:00:00,6
"i0270H","m","Q1083","G",11/28/2001 0:00:00,8
"18S","m","Q1083","R",12/1/2001 0:00:00,7
"i02K81","f","Q1083","R",12/1/2001 0:00:00,6
"96R","m","Q1083","S",12/2/2001 0:00:00,7
"i0205D","m","Q1083","D",12/2/2001 0:00:00,7
"i0233G","u","Q1083","DD",12/3/2001 0:00:00,8
"i0294B","m","Q1083","J",12/3/2001 0:00:00,8
"15R","f","Q1083","CC",12/4/2001 0:00:00,6
"09R","m","Q1083","CC",12/5/2001 0:00:00,6
"84R","f","Q1083","CC",12/5/2001 0:00:00,6
"06S","f","Q1083","BB",12/6/2001 0:00:00,6
"16R","m","Q1083","S",12/8/2001 0:00:00,7
"48R","f","Q1083","CC",12/9/2001 0:00:00,6
"i0264H","f","Q1083","C",12/9/2001 0:00:00,8
"95R","f","Q1083","S",12/13/2001 0:00:00,6
"50R","m","Q1083","CC",12/15/2001 0:00:00,6
"i02Z92","m","Q1083","D",12/19/2001 0:00:00,6
"15S","f","Q1083","CC",12/20/2001 0:00:00,6
"82R","f","Q1083","CC",12/22/2001 0:00:00,7
"i0283C","f","Q1083","G",12/26/2001 0:00:00,8
"i02O36","m","Q1083","D",12/26/2001 0:00:00,7
"i0219I","m","Q1083","G",12/26/2001 0:00:00,7
"51R","f","Q1083","S",12/28/2001 0:00:00,7
"i0284C","m","Q1083","D",1/1/2002 0:00:00,8
"i0298H","m","Q1083","S",1/2/2002 0:00:00,8
"97R","f","Q1083","S",1/4/2002 0:00:00,7
"81R","m","Q1083","BB",1/5/2002 0:00:00,6
"25S","m","Q1083","BB",1/9/2002 0:00:00,6
"45R","f","Q1083","S",1/16/2002 0:00:00,6
"11R","f","Q1083","BB",1/20/2002 0:00:00,7
"02S","m","Q1083","S",1/24/2002 0:00:00,6
"i0234D","u","Q1083","G",1/26/2002 0:00:00,7
"03S","f","Q1083","S",1/31/2002 0:00:00,5
"i02L37","m","Q1083","D",2/14/2002 0:00:00,7
"17S","f","Q1083","BB",4/30/2002 0:00:00,7
"21T","m","Q1083","S",10/27/2002 0:00:00,7
"i03R27","f","Q1083","CC",10/27/2002 0:00:00,7
"65T","m","Q1083","S",11/1/2002 0:00:00,7
"i03O30","m","Q1083","CC",11/2/2002 0:00:00,7
"i0350D","m","Q1083","CC",11/3/2002 0:00:00,6
"i0380C","m","Q1083","CC",11/4/2002 0:00:00,6
