AnimalID,F1,F2,F3,F4,F5,F6,F7,F8,C1,C2,C3,C4,Sex,Matril,EAAD
"04D",80.43,53.66,61.22,86.00,38.71,50.19,68.77,51.43,2.00,3.00,3.00,3.00,"F","116","06.77"
"05D",86.94,55.05,64.72,84.14,46.85,55.30,74.20,53.49,3.00,3.00,3.00,3.00,"F","116","07.79"
"O36",86.86,56.56,64.57,87.17,49.84,49.92,73.56,58.77,3.00,3.00,3.00,3.00,"F","116","14.31"
"B13",84.58,56.80,64.00,89.96,45.74,49.98,71.83,57.86,3.00,3.00,3.00,3.00,"F","116","14.43"
"A41",89.59,56.90,61.79,89.09,44.88,50.45,77.18,55.28,3.00,3.00,3.00,3.00,"F","116","15.92"
"N20",89.94,54.60,66.16,94.03,51.29,57.77,80.16,60.11,3.00,3.00,3.00,3.00,"F","116","14.49"
"76E",75.58,49.82,57.16,76.61,37.43,43.95,61.50,43.16,1.00,3.00,3.00,3.00,"F","116","04.33"
"18O",73.70,51.62,59.20,79.55,40.22,46.51,61.49,42.76,1.00,3.00,3.00,2.00,"F","116","03.64"
"82B",79.37,52.06,60.82,83.44,43.39,51.43,68.23,49.18,3.00,3.00,3.00,3.00,"F","116","10.07"
"AE84",68.94,50.46,61.98,82.20,34.16,46.34,54.64,32.89,1.00,3.00,3.00,1.00,"F","116","02.51"
"AE53",67.87,48.17,59.44,77.22,33.94,43.10,55.28,39.56,1.00,3.00,3.00,1.00,"F","116","02.91"
"O30",90.97,,61.83,89.62,46.26,54.35,71.09,56.62,3.00,3.00,3.00,3.00,"F","116","16.26"
"R27",92.53,55.67,67.45,91.80,46.58,55.09,75.37,65.07,3.00,3.00,3.00,3.00,"F","116","15.15"
"O27",85.88,55.59,64.16,83.57,41.84,52.07,68.62,51.74,3.00,3.00,3.00,3.00,"F","116","16.01"
"K79",86.00,56.37,65.09,89.79,45.86,50.75,73.22,55.58,3.00,3.00,3.00,3.00,"F","116","17.48"
"Z81",81.77,52.50,60.78,82.62,43.16,45.06,67.30,53.99,3.00,3.00,3.00,3.00,"F","116","12.49"
"T86",87.66,54.53,63.06,84.33,50.69,50.81,74.53,53.16,3.00,3.00,3.00,3.00,"F","116","14.18"
"36B",83.39,53.35,64.00,87.30,42.54,48.63,68.29,54.65,3.00,3.00,3.00,3.00,"F","116","11.47"
"S37",81.38,54.06,62.16,83.77,43.06,54.40,70.02,53.30,3.00,3.00,3.00,3.00,"F","116","14.87"
"10L",77.50,54.69,59.76,79.87,39.97,50.16,64.95,47.21,1.00,3.00,3.00,3.00,"F","116","05.18"
"T51",82.59,53.73,61.14,88.13,46.13,50.21,71.73,48.59,3.00,3.00,3.00,3.00,"F","116","14.16"
"95B",84.45,56.54,63.36,87.67,46.68,50.68,70.77,52.35,3.00,3.00,3.00,3.00,"F","116","10.25"
"Z75",85.28,56.38,63.91,88.54,45.94,56.28,72.50,57.54,3.00,3.00,3.00,3.00,"F","116","12.24"
"Z72",81.32,52.13,61.83,79.82,46.74,53.14,69.16,51.24,3.00,3.00,3.00,3.00,"F","116","13.27"
"27P",74.34,55.48,58.45,81.28,39.23,51.58,64.38,45.06,1.00,3.00,3.00,3.00,"F","116","04.43"
"AD88",70.65,50.59,60.06,78.45,35.85,46.06,59.99,41.98,1.00,3.00,3.00,1.00,"F","116","04.59"
"J74",82.38,,61.96,88.72,41.61,51.36,61.51,43.23,3.00,3.00,3.00,3.00,"F","116","17.49"
"94B",84.57,55.02,62.13,88.64,51.40,51.85,72.02,51.05,3.00,3.00,3.00,3.00,"F","116","10.87"
"50D & Fetus",84.13,54.11,61.90,86.91,43.55,48.91,71.05,53.81,3.00,3.00,3.00,3.00,"F","116","08.83"
